Location,zillow-value,one-year-change,one-year-forcast,market-temperature,price-sqft,median-listing-price,median-sale-price,avg-days-on-market,negative-equity,delinquincy,rent-list-price,rent-sqft
Douglas Park neighbour,"618,214",3.8,-0.6,Nodata,Nodata,Nodata,Nodata,Nodata,Nodata,Nodata,Nodata,Nodata
Nauck neighbour,"553,950",7.2,0.0,Nodata,Nodata,Nodata,Nodata,Nodata,Nodata,Nodata,Nodata,Nodata
Buckingham neighbour,"319,794",6.7,0.6,Nodata,Nodata,Nodata,Nodata,Nodata,Nodata,Nodata,Nodata,Nodata
Arlington Ridge neighbour,"858,753",8.4,0.6,Nodata,Nodata,Nodata,Nodata,Nodata,Nodata,Nodata,Nodata,Nodata
Arlington Forest neighbour,"831,039",6.2,0.7,Nodata,Nodata,Nodata,Nodata,Nodata,Nodata,Nodata,Nodata,Nodata
Old Diminion neighbour,"1,040,901",5.9,0.1,Nodata,Nodata,Nodata,Nodata,Nodata,Nodata,Nodata,Nodata,Nodata
Waycroft-Woodlawn neighbour,"979,956",6.3,0.2,Nodata,Nodata,Nodata,Nodata,Nodata,Nodata,Nodata,Nodata,Nodata
High View Park neighbour,"826,841",5.5,0.4,Nodata,Nodata,Nodata,Nodata,Nodata,Nodata,Nodata,Nodata,Nodata
Waverly Hills neighbour,"738,009",6.5,0.6,Nodata,Nodata,Nodata,Nodata,Nodata,Nodata,Nodata,Nodata,Nodata
Bluemont neighbour,"892,033",5.5,0.4,Nodata,Nodata,Nodata,Nodata,Nodata,Nodata,Nodata,Nodata,Nodata
Claremont neighbour,"672,348",3.8,-0.6,Nodata,Nodata,Nodata,Nodata,Nodata,Nodata,Nodata,Nodata,Nodata
Columbia Forest neighbour,"321,906",7.2,-0.0,Nodata,Nodata,Nodata,Nodata,Nodata,Nodata,Nodata,Nodata,Nodata
Capitol View neighbour,"409,100",6.6,0.6,Nodata,Nodata,Nodata,Nodata,Nodata,Nodata,Nodata,Nodata,Nodata
East Corner neighbour,"378,915",4.8,0.1,Nodata,Nodata,Nodata,Nodata,Nodata,Nodata,Nodata,Nodata,Nodata
Taylor Run neighbour,"779,630",6.6,0.7,Nodata,Nodata,Nodata,Nodata,Nodata,Nodata,Nodata,Nodata,Nodata
Potomac West neighbour,"722,232",8.4,1.2,Nodata,Nodata,"649,000","711,600",36,Nodata,Nodata,Nodata,Nodata
Southwest Quadrant neighbour,"691,290",6.5,0.7,Nodata,Nodata,Nodata,Nodata,Nodata,Nodata,Nodata,Nodata,Nodata
Eisenhower East neighbour,"553,912",6.2,0.5,Nodata,Nodata,Nodata,Nodata,Nodata,Nodata,Nodata,Nodata,Nodata
North Ridge-Rosemont neighbour,"685,920",9.0,1.6,Nodata,439,Nodata,Nodata,34,Nodata,Nodata,Nodata,"1,972"
Aurora Highlands neighbour,"806,823",7.6,0.5,Nodata,Nodata,Nodata,Nodata,Nodata,Nodata,Nodata,Nodata,Nodata
Olde Glebe neighbour,"1,390,017",6.7,1.1,Nodata,Nodata,Nodata,Nodata,Nodata,Nodata,Nodata,Nodata,Nodata
Yorktown neighbour,"1,067,543",7.0,0.3,Nodata,Nodata,Nodata,Nodata,Nodata,Nodata,Nodata,Nodata,Nodata
Arlington Mill neighbour,"264,215",5.1,0.5,Nodata,Nodata,Nodata,Nodata,Nodata,Nodata,Nodata,Nodata,Nodata
Fairlington-Shirlington neighbour,"486,143",7.2,0.5,Very Hot,480,"459,999","495,300",Nodata,Nodata,Nodata,"2,200",2.42
Boulevard Manor neighbour,"878,620",7.8,0.5,Nodata,Nodata,Nodata,Nodata,Nodata,Nodata,Nodata,Nodata,Nodata
Glencarlyn neighbour,"763,410",1.5,-1.4,Nodata,Nodata,Nodata,Nodata,Nodata,Nodata,Nodata,Nodata,Nodata
Rock Spring neighbour,"1,381,268",9.0,1.4,Nodata,Nodata,Nodata,Nodata,Nodata,Nodata,Nodata,Nodata,Nodata
Tara-Leeway Heights neighbour,"1,047,004",6.3,0.3,Nodata,Nodata,Nodata,Nodata,Nodata,Nodata,Nodata,Nodata,Nodata
Leeway neighbour,"976,665",3.8,-0.6,Nodata,Nodata,Nodata,Nodata,Nodata,Nodata,Nodata,Nodata,Nodata
Dominion Hills neighbour,"869,130",5.8,0.5,Nodata,Nodata,Nodata,Nodata,Nodata,Nodata,Nodata,Nodata,Nodata
Alexandria West neighbour,"321,601",7.7,1.2,Nodata,265,Nodata,"334,500",Nodata,Nodata,Nodata,Nodata,"1,750"
Seminary Hill neighbour,"497,602",6.4,0.6,Nodata,311,Nodata,Nodata,30,Nodata,Nodata,Nodata,"2,010"
Williamsburg neighbour,"1,203,430",4.5,-0.1,Nodata,Nodata,Nodata,Nodata,Nodata,Nodata,Nodata,Nodata,Nodata
Highland Park - Overlee Knolls neighbour,"936,723",3.7,-0.8,Nodata,Nodata,Nodata,Nodata,Nodata,Nodata,Nodata,Nodata,Nodata
Madison Manor neighbour,"894,686",6.0,-0.0,Nodata,Nodata,Nodata,Nodata,Nodata,Nodata,Nodata,Nodata,Nodata
Arlington-East Falls neighbour,"955,776",3.9,-0.5,Nodata,469,"1,588,433",Nodata,Nodata,Nodata,Nodata,Nodata,Nodata
Landmark-Van Dom neighbour,"295,993",7.5,1.1,Nodata,264,Nodata,"303,200",36,Nodata,Nodata,Nodata,"1,997"
Franconia neighbour,"503,678",5.1,-0.4,Nodata,Nodata,Nodata,Nodata,Nodata,0.063,0.005,Nodata,Nodata
